signal_id,timestamp,symbol,side,action,order_type,size,price,limit_price,stop_price,reason,indicator_values,market_data,strategy_state,order_id,notes
SIG_20100511_163000_0,2010-05-11 16:30:00,AAPL,BUY,ENTRY,MARKET,100,9.16142,,,"EMA crossover: Fast(9.08) > Slow(9.03), RSI=54.9","{""ema_12"": 9.083220179494614, ""ema_26"": 9.029241807692308, ""rsi_14"": 54.85859461576364}","{""open"": 8.994277, ""high"": 9.281773, ""low"": 8.94642, ""close"": 9.16142, ""volume"": 850351888.0}",{},,
SIG_20100519_163000_1,2010-05-19 16:30:00,AAPL,SELL,EXIT,MARKET,100,8.869277,,,Stop loss triggered,"{""ema_12"": 9.068855122556052, ""ema_26"": 9.049015043003465, ""rsi_14"": 47.64510760086125}","{""open"": 8.910705, ""high"": 9.032848, ""low"": 8.744634, ""close"": 8.869277, ""volume"": 1025726592.0}",{},,
SIG_20100601_163000_2,2010-06-01 16:30:00,AAPL,BUY,ENTRY,MARKET,100,9.315351,,,"EMA crossover: Fast(8.99) > Slow(8.99), RSI=58.4","{""ema_12"": 8.992930936813393, ""ema_26"": 8.987543463294152, ""rsi_14"": 58.41528207514646}","{""open"": 9.274631, ""high"": 9.497846, ""low"": 9.248561, ""close"": 9.315351, ""volume"": 876474348.0}",{},,
SIG_20100607_163000_3,2010-06-07 16:30:00,AAPL,SELL,EXIT,MARKET,100,8.962134,,,Stop loss triggered,"{""ema_12"": 9.092505556664154, ""ema_26"": 9.048067246868943, ""rsi_14"": 48.74045450545112}","{""open"": 9.224635, ""high"": 9.255344, ""low"": 8.948205, ""close"": 8.962134, ""volume"": 886983092.0}",{},,
SIG_20100608_163000_4,2010-06-08 16:30:00,AAPL,BUY,ENTRY,MARKET,100,8.904634,,,"EMA crossover: Fast(9.06) > Slow(9.04), RSI=47.5","{""ema_12"": 9.063602240254284, ""ema_26"": 9.037442561915688, ""rsi_14"": 47.45561066988695}","{""open"": 9.044277, ""high"": 9.064277, ""low"": 8.773205, ""close"": 8.904634, ""volume"": 1000768936.0}",{},,
SIG_20100609_163000_5,2010-06-09 16:30:00,AAPL,SELL,EXIT,MARKET,100,8.685706,,,Exit condition met,"{""ema_12"": 9.00546435713824, ""ema_26"": 9.011388001773785, ""rsi_14"": 42.826558309592805}","{""open"": 8.981062, ""high"": 8.996419, ""low"": 8.660349, ""close"": 8.685706, ""volume"": 854629396.0}",{},,
SIG_20100614_163000_6,2010-06-14 16:30:00,AAPL,BUY,ENTRY,MARKET,100,9.081419,,,"EMA crossover: Fast(9.02) > Slow(9.02), RSI=52.2","{""ema_12"": 9.016992857237595, ""ema_26"": 9.015389273978325, ""rsi_14"": 52.193639642401955}","{""open"": 9.14142, ""high"": 9.255344, ""low"": 9.071776, ""close"": 9.081419, ""volume"": 602961112.0}",{},,
SIG_20100616_163000_7,2010-06-16 16:30:00,AAPL,SELL,EXIT,MARKET,100,9.544633,,,Take profit triggered,"{""ema_12"": 9.131706956957094, ""ema_26"": 9.072373152587728, ""rsi_14"": 61.52495529428501}","{""open"": 9.324994, ""high"": 9.56249, ""low"": 9.30821, ""close"": 9.544633, ""volume"": 783690316.0}",{},,
SIG_20100617_163000_8,2010-06-17 16:30:00,AAPL,BUY,ENTRY,MARKET,100,9.709637,,,"EMA crossover: Fast(9.22) > Slow(9.12), RSI=64.3","{""ema_12"": 9.220619271271387, ""ema_26"": 9.119577882025673, ""rsi_14"": 64.28161053676583}","{""open"": 9.66428, ""high"": 9.746415, ""low"": 9.62499, ""close"": 9.709637, ""volume"": 873461544.0}",{},,
SIG_20100629_163000_9,2010-06-29 16:30:00,AAPL,SELL,EXIT,MARKET,100,9.148917,,,Stop loss triggered,"{""ema_12"": 9.450892399289778, ""ema_26"": 9.32519487410935, ""rsi_14"": 46.07320116000852}","{""open"": 9.432869, ""high"": 9.442487, ""low"": 9.082134, ""close"": 9.148917, ""volume"": 1133345708.0}",{},,
SIG_20100630_163000_10,2010-06-30 16:30:00,AAPL,BUY,ENTRY,MARKET,100,8.983205,,,"EMA crossover: Fast(9.38) > Slow(9.30), RSI=42.6","{""ema_12"": 9.378940491706736, ""ema_26"": 9.299862290841991, ""rsi_14"": 42.60144109851127}","{""open"": 9.168204, ""high"": 9.213204, ""low"": 8.928919, ""close"": 8.983205, ""volume"": 739469088.0}",{},,
SIG_20100702_163000_11,2010-07-02 16:30:00,AAPL,SELL,EXIT,MARKET,100,8.819277,,,Exit condition met,"{""ema_12"": 9.227142576902455, ""ema_26"": 9.23507371711419, ""rsi_14"": 39.36021710905063}","{""open"": 8.946063, ""high"": 8.961776, ""low"": 8.685706, ""close"": 8.819277, ""volume"": 694498356.0}",{},,
SIG_20100727_163000_12,2010-07-27 16:30:00,AAPL,BUY,ENTRY,MARKET,100,9.431422,,,"EMA crossover: Fast(9.18) > Slow(9.16), RSI=58.6","{""ema_12"": 9.176012924049388, ""ema_26"": 9.164419505151155, ""rsi_14"": 58.612618441990975}","{""open"": 9.316781, ""high"": 9.457135, ""low"": 9.296421, ""close"": 9.431422, ""volume"": 584771400.0}",{},,
