signal_id,timestamp,symbol,side,action,order_type,size,price,limit_price,stop_price,reason,indicator_values,market_data,strategy_state,order_id,notes
SIG_20100726_163000_0,2010-07-26 16:30:00,MSFT,BUY,ENTRY,MARKET,100,26.10001,,,"EMA crossover: Fast(25.35) > Slow(25.28), RSI=58.9","{""ema_12"": 25.351212466302076, ""ema_26"": 25.28190170502611, ""rsi_14"": 58.94899992446554}","{""open"": 25.86, ""high"": 26.2, ""low"": 25.8, ""close"": 26.10001, ""volume"": 67249808.0}",{},,
SIG_20100805_163000_1,2010-08-05 16:30:00,MSFT,SELL,EXIT,MARKET,100,25.37,,,Stop loss triggered,"{""ema_12"": 25.737659937549125, ""ema_26"": 25.572163513475573, ""rsi_14"": 47.6183515928239}","{""open"": 25.49001, ""high"": 25.58, ""low"": 25.21001, ""close"": 25.37, ""volume"": 64922016.0}",{},,
SIG_20100806_163000_2,2010-08-06 16:30:00,MSFT,BUY,ENTRY,MARKET,100,25.55,,,"EMA crossover: Fast(25.71) > Slow(25.57), RSI=49.8","{""ema_12"": 25.70878917792618, ""ema_26"": 25.57052177173664, ""rsi_14"": 49.816097523994934}","{""open"": 25.17999, ""high"": 25.56, ""low"": 25.02, ""close"": 25.55, ""volume"": 55985488.0}",{},,
SIG_20100811_163000_3,2010-08-11 16:30:00,MSFT,SELL,EXIT,MARKET,100,24.86,,,Exit condition met,"{""ema_12"": 25.484169893409078, ""ema_26"": 25.486069002864657, ""rsi_14"": 41.99248915065492}","{""open"": 24.67999, ""high"": 24.89999, ""low"": 24.56, ""close"": 24.86, ""volume"": 76745808.0}",{},,
SIG_20100916_163000_4,2010-09-16 16:30:00,MSFT,BUY,ENTRY,MARKET,100,25.33,,,"EMA crossover: Fast(24.58) > Slow(24.54), RSI=61.6","{""ema_12"": 24.575905729552606, ""ema_26"": 24.543612068429706, ""rsi_14"": 61.64187933581804}","{""open"": 25.06, ""high"": 25.37, ""low"": 25.05, ""close"": 25.33, ""volume"": 44548256.0}",{},,
SIG_20100922_163000_5,2010-09-22 16:30:00,MSFT,SELL,EXIT,MARKET,100,24.61,,,Stop loss triggered,"{""ema_12"": 24.80999359778648, ""ema_26"": 24.686183456358002, ""rsi_14"": 48.886862247804544}","{""open"": 24.89, ""high"": 24.97, ""low"": 24.36, ""close"": 24.61, ""volume"": 94299376.0}",{},,
SIG_20100923_163000_6,2010-09-23 16:30:00,MSFT,BUY,ENTRY,MARKET,100,24.42999,,,"EMA crossover: Fast(24.75) > Slow(24.67), RSI=46.5","{""ema_12"": 24.75153150581933, ""ema_26"": 24.667206163294445, ""rsi_14"": 46.48221040357926}","{""open"": 24.50999, ""high"": 24.59, ""low"": 24.36, ""close"": 24.42999, ""volume"": 46210112.0}",{},,
SIG_20101001_163000_7,2010-10-01 16:30:00,MSFT,SELL,EXIT,MARKET,100,24.38,,,Exit condition met,"{""ema_12"": 24.625787754841927, ""ema_26"": 24.632754258515888, ""rsi_14"": 45.313291161944626}","{""open"": 24.77, ""high"": 24.82001, ""low"": 24.3, ""close"": 24.38, ""volume"": 62672272.0}",{},,
SIG_20101013_163000_8,2010-10-13 16:30:00,MSFT,BUY,ENTRY,MARKET,100,25.34,,,"EMA crossover: Fast(24.68) > Slow(24.63), RSI=62.3","{""ema_12"": 24.682718286245244, ""ema_26"": 24.632013145901656, ""rsi_14"": 62.31437550788824}","{""open"": 25.02, ""high"": 25.53999, ""low"": 24.89, ""close"": 25.34, ""volume"": 75336432.0}",{},,
SIG_20101029_163000_9,2010-10-29 16:30:00,MSFT,SELL,EXIT,MARKET,100,26.66499,,,Take profit triggered,"{""ema_12"": 25.711639852222383, ""ema_26"": 25.30719739248014, ""rsi_14"": 70.17703841278586}","{""open"": 27.14999, ""high"": 27.2, ""low"": 26.48, ""close"": 26.66499, ""volume"": 114193184.0}",{},,
SIG_20101103_163000_10,2010-11-03 16:30:00,MSFT,BUY,ENTRY,MARKET,100,27.03,,,"EMA crossover: Fast(26.27) > Slow(25.68), RSI=68.7","{""ema_12"": 26.269354867231677, ""ema_26"": 25.68199457691928, ""rsi_14"": 68.72244268855349}","{""open"": 27.46001, ""high"": 27.49001, ""low"": 26.96001, ""close"": 27.03, ""volume"": 110255248.0}",{},,
SIG_20101112_173000_11,2010-11-12 17:30:00,MSFT,SELL,EXIT,MARKET,100,26.27,,,Stop loss triggered,"{""ema_12"": 26.590767641986282, ""ema_26"": 26.136812043261184, ""rsi_14"": 52.53542695717811}","{""open"": 26.47, ""high"": 26.52, ""low"": 26.10001, ""close"": 26.27, ""volume"": 64962144.0}",{},,
SIG_20101115_173000_12,2010-11-15 17:30:00,MSFT,BUY,ENTRY,MARKET,100,26.2,,,"EMA crossover: Fast(26.53) > Slow(26.14), RSI=51.4","{""ema_12"": 26.530649543219162, ""ema_26"": 26.141492632649243, ""rsi_14"": 51.40422952236975}","{""open"": 26.33, ""high"": 26.5, ""low"": 26.17, ""close"": 26.2, ""volume"": 51794560.0}",{},,
SIG_20101117_173000_13,2010-11-17 17:30:00,MSFT,SELL,EXIT,MARKET,100,25.57001,,,Stop loss triggered,"{""ema_12"": 26.28904647768946, ""ema_26"": 26.076424465577198, ""rsi_14"": 42.31470585337622}","{""open"": 25.89999, ""high"": 25.91, ""low"": 25.55, ""close"": 25.57001, ""volume"": 58299616.0}",{},,
SIG_20101118_173000_14,2010-11-18 17:30:00,MSFT,BUY,ENTRY,MARKET,100,25.83749,,,"EMA crossover: Fast(26.22) > Slow(26.06), RSI=46.8","{""ema_12"": 26.21957625035262, ""ema_26"": 26.058725616275183, ""rsi_14"": 46.813798313980584}","{""open"": 25.71001, ""high"": 26.08, ""low"": 25.61, ""close"": 25.83749, ""volume"": 59518960.0}",{},,
SIG_20101123_173000_15,2010-11-23 17:30:00,MSFT,SELL,EXIT,MARKET,100,25.12,,,Exit condition met,"{""ema_12"": 25.928345921356094, ""ema_26"": 25.943227544292018, ""rsi_14"": 37.571528122702915}","{""open"": 25.57001, ""high"": 25.60001, ""low"": 25.09, ""close"": 25.12, ""volume"": 69806752.0}",{},,
