signal_id,timestamp,symbol,side,action,order_type,size,price,limit_price,stop_price,reason,indicator_values,market_data,strategy_state,order_id,notes
SIG_20100804_163000_0,2010-08-04 16:30:00,TSLA,BUY,ENTRY,MARKET,100,1.417331,,,"EMA crossover: Fast(1.38) > Slow(1.34), RSI=46.1","{""ema_12"": 1.3847067928005778, ""ema_26"": 1.3399217692307692, ""rsi_14"": 46.13200976401142}","{""open"": 1.463332, ""high"": 1.478665, ""low"": 1.389999, ""close"": 1.417331, ""volume"": 13811353.0}",{},,
SIG_20100805_163000_1,2010-08-05 16:30:00,TSLA,SELL,EXIT,MARKET,100,1.363332,,,Stop loss triggered,"{""ema_12"": 1.3814183631389505, ""ema_26"": 1.3416558603988604, ""rsi_14"": 42.91320447974354}","{""open"": 1.435998, ""high"": 1.436665, ""low"": 1.336665, ""close"": 1.363332, ""volume"": 11945711.0}",{},,
SIG_20100806_163000_2,2010-08-06 16:30:00,TSLA,BUY,ENTRY,MARKET,100,1.305999,,,"EMA crossover: Fast(1.37) > Slow(1.34), RSI=39.7","{""ema_12"": 1.3698153841944967, ""ema_26"": 1.3390146114804262, ""rsi_14"": 39.74253123495226}","{""open"": 1.339999, ""high"": 1.344005, ""low"": 1.301332, ""close"": 1.305999, ""volume"": 11132081.0}",{},,
SIG_20100810_163000_3,2010-08-10 16:30:00,TSLA,SELL,EXIT,MARKET,100,1.268665,,,Stop loss triggered,"{""ema_12"": 1.346033156730971, ""ema_26"": 1.3315848315161405, ""rsi_14"": 37.661218757034426}","{""open"": 1.309998, ""high"": 1.309998, ""low"": 1.254666, ""close"": 1.268665, ""volume"": 19219309.0}",{},,
SIG_20100811_163000_4,2010-08-11 16:30:00,TSLA,BUY,ENTRY,MARKET,100,1.193331,,,"EMA crossover: Fast(1.32) > Slow(1.32), RSI=33.8","{""ema_12"": 1.3225405172338984, ""ema_26"": 1.3213438069593892, ""rsi_14"": 33.78784104834664}","{""open"": 1.245999, ""high"": 1.258665, ""low"": 1.189999, ""close"": 1.193331, ""volume"": 11964761.0}",{},,
SIG_20100812_163000_5,2010-08-12 16:30:00,TSLA,SELL,EXIT,MARKET,100,1.173333,,,Exit condition met,"{""ema_12"": 1.2995855145825295, ""ema_26"": 1.3103800434809159, ""rsi_14"": 32.82278804488444}","{""open"": 1.186665, ""high"": 1.193331, ""low"": 1.159332, ""close"": 1.173333, ""volume"": 10369225.0}",{},,
SIG_20100830_163000_6,2010-08-30 16:30:00,TSLA,BUY,ENTRY,MARKET,100,1.324665,,,"EMA crossover: Fast(1.30) > Slow(1.30), RSI=48.8","{""ema_12"": 1.3011712453718276, ""ema_26"": 1.300268944649183, ""rsi_14"": 48.8421541941824}","{""open"": 1.313332, ""high"": 1.345999, ""low"": 1.307332, ""close"": 1.324665, ""volume"": 10990975.0}",{},,
SIG_20100902_163000_7,2010-09-02 16:30:00,TSLA,SELL,EXIT,MARKET,100,1.403999,,,Take profit triggered,"{""ema_12"": 1.3248067690441065, ""ema_26"": 1.3121761038532482, ""rsi_14"": 56.38328683325806}","{""open"": 1.357999, ""high"": 1.415999, ""low"": 1.354019, ""close"": 1.403999, ""volume"": 7305907.0}",{},,
SIG_20100903_163000_8,2010-09-03 16:30:00,TSLA,BUY,ENTRY,MARKET,100,1.403332,,,"EMA crossover: Fast(1.34) > Slow(1.32), RSI=56.3","{""ema_12"": 1.3368875738065518, ""ema_26"": 1.3189283924567112, ""rsi_14"": 56.308112338955254}","{""open"": 1.391332, ""high"": 1.419999, ""low"": 1.377332, ""close"": 1.403332, ""volume"": 6521346.0}",{},,
SIG_20100907_163000_9,2010-09-07 16:30:00,TSLA,SELL,EXIT,MARKET,100,1.369331,,,Stop loss triggered,"{""ema_12"": 1.3418788701440054, ""ema_26"": 1.3226619189413993, ""rsi_14"": 52.4678249456509}","{""open"": 1.373999, ""high"": 1.399999, ""low"": 1.366665, ""close"": 1.369331, ""volume"": 3650028.0}",{},,
