signal_id,timestamp,symbol,side,action,order_type,size,price,limit_price,stop_price,reason,indicator_values,market_data,strategy_state,order_id,notes
SIG_20100601_163000_0,2010-06-01 16:30:00,AAPL,BUY,ENTRY,MARKET,10198,9.315351,,,"EMA Crossover: EMA(12)=8.99 > EMA(26)=8.99, RSI=58.42","{""ema_12"": 8.992930936813393, ""ema_26"": 8.987543463294152, ""rsi_14"": 58.41528207514646}","{""open"": 9.274631, ""high"": 9.497846, ""low"": 9.248561, ""close"": 9.315351, ""volume"": 876474348.0}",{},,
SIG_20100607_163000_1,2010-06-07 16:30:00,AAPL,SELL,EXIT,MARKET,10198,8.962134,,,Stop Loss: -2.0%,"{""ema_12"": 9.092505556664154, ""ema_26"": 9.048067246868943, ""rsi_14"": 48.74045450545112}","{""open"": 9.224635, ""high"": 9.255344, ""low"": 8.948205, ""close"": 8.962134, ""volume"": 886983092.0}",{},,
SIG_20100614_163000_2,2010-06-14 16:30:00,AAPL,BUY,ENTRY,MARKET,10084,9.081419,,,"EMA Crossover: EMA(12)=9.02 > EMA(26)=9.02, RSI=52.19","{""ema_12"": 9.016992857237595, ""ema_26"": 9.015389273978325, ""rsi_14"": 52.193639642401955}","{""open"": 9.14142, ""high"": 9.255344, ""low"": 9.071776, ""close"": 9.081419, ""volume"": 602961112.0}",{},,
SIG_20100616_163000_3,2010-06-16 16:30:00,AAPL,SELL,EXIT,MARKET,10084,9.544633,,,Take Profit: +5.0%,"{""ema_12"": 9.131706956957094, ""ema_26"": 9.072373152587728, ""rsi_14"": 61.52495529428501}","{""open"": 9.324994, ""high"": 9.56249, ""low"": 9.30821, ""close"": 9.544633, ""volume"": 783690316.0}",{},,
SIG_20100727_163000_4,2010-07-27 16:30:00,AAPL,BUY,ENTRY,MARKET,10180,9.431422,,,"EMA Crossover: EMA(12)=9.18 > EMA(26)=9.16, RSI=58.61","{""ema_12"": 9.176012924049388, ""ema_26"": 9.164419505151155, ""rsi_14"": 58.612618441990975}","{""open"": 9.316781, ""high"": 9.457135, ""low"": 9.296421, ""close"": 9.431422, ""volume"": 584771400.0}",{},,
SIG_20100729_163000_5,2010-07-29 16:30:00,AAPL,SELL,EXIT,MARKET,10180,9.218209,,,Stop Loss: -2.0%,"{""ema_12"": 9.201247075798674, ""ema_26"": 9.179073973552088, ""rsi_14"": 51.35674314857096}","{""open"": 9.311061, ""high"": 9.380344, ""low"": 9.146423, ""close"": 9.218209, ""volume"": 643806208.0}",{},,
SIG_20100908_163000_6,2010-09-08 16:30:00,AAPL,BUY,ENTRY,MARKET,10005,9.389988,,,"EMA Crossover: EMA(12)=9.01 > EMA(26)=9.00, RSI=63.64","{""ema_12"": 9.010024819527473, ""ema_26"": 8.998841861886143, ""rsi_14"": 63.643776101207884}","{""open"": 9.277849, ""high"": 9.442487, ""low"": 9.253566, ""close"": 9.389988, ""volume"": 526548812.0}",{},,
SIG_20100916_163000_7,2010-09-16 16:30:00,AAPL,SELL,EXIT,MARKET,10005,9.877493,,,Take Profit: +5.0%,"{""ema_12"": 9.395145531277684, ""ema_26"": 9.219026779809905, ""rsi_14"": 74.98066982875346}","{""open"": 9.651419, ""high"": 9.881059, ""low"": 9.62499, ""close"": 9.877493, ""volume"": 652102284.0}",{},,
SIG_20110331_163000_8,2011-03-31 16:30:00,AAPL,BUY,ENTRY,MARKET,7920,12.446686,,,"EMA Crossover: EMA(12)=12.38 > EMA(26)=12.38, RSI=51.93","{""ema_12"": 12.380554500110847, ""ema_26"": 12.378226893946502, ""rsi_14"": 51.928446726885326}","{""open"": 12.369992, ""high"": 12.492846, ""low"": 12.359275, ""close"": 12.446686, ""volume"": 274368324.0}",{},,
SIG_20110401_163000_9,2011-04-01 16:30:00,AAPL,SELL,EXIT,MARKET,7920,12.305704,,,EMA(12) crosses below EMA(26),"{""ema_12"": 12.369039038555332, ""ema_26"": 12.372854827728244, ""rsi_14"": 48.155569836490194}","{""open"": 12.539634, ""high"": 12.556672, ""low"": 12.260704, ""close"": 12.305704, ""volume"": 418661988.0}",{},,
SIG_20110426_163000_10,2011-04-26 16:30:00,AAPL,BUY,ENTRY,MARKET,7792,12.514985,,,"EMA Crossover: EMA(12)=12.23 > EMA(26)=12.21, RSI=58.53","{""ema_12"": 12.231216152573696, ""ema_26"": 12.210895093929171, ""rsi_14"": 58.52792807304351}","{""open"": 12.629277, ""high"": 12.678201, ""low"": 12.476777, ""close"": 12.514985, ""volume"": 337602888.0}",{},,
SIG_20110513_163000_11,2011-05-13 16:30:00,AAPL,SELL,EXIT,MARKET,7792,12.160702,,,Stop Loss: -2.0%,"{""ema_12"": 12.356730860927035, ""ema_26"": 12.325088149709812, ""rsi_14"": 43.889064689698934}","{""open"": 12.344984, ""high"": 12.366059, ""low"": 12.155349, ""close"": 12.160702, ""volume"": 326192120.0}",{},,
SIG_20110705_163000_12,2011-07-05 16:30:00,AAPL,BUY,ENTRY,MARKET,7604,12.479628,,,"EMA Crossover: EMA(12)=11.97 > EMA(26)=11.93, RSI=63.57","{""ema_12"": 11.972261255431924, ""ema_26"": 11.933838238034403, ""rsi_14"": 63.569295552545505}","{""open"": 12.249988, ""high"": 12.493919, ""low"": 12.232131, ""close"": 12.479628, ""volume"": 355274852.0}",{},,
SIG_20110718_163000_13,2011-07-18 16:30:00,AAPL,SELL,EXIT,MARKET,7604,13.349988,,,Take Profit: +5.0%,"{""ema_12"": 12.694547252543849, ""ema_26"": 12.395058638802121, ""rsi_14"": 74.11711752660464}","{""open"": 13.051056, ""high"": 13.38034, ""low"": 13.045702, ""close"": 13.349988, ""volume"": 572631036.0}",{},,
