signal_id,timestamp,symbol,side,action,order_type,size,price,limit_price,stop_price,reason,indicator_values,market_data,strategy_state,order_id,notes
SIG_20100601_163000_0,2010-06-01 16:30:00,AAPL,BUY,ENTRY,MARKET,100,9.315351,,,"EMA crossover detected (Fast: 8.99 > Slow: 8.99), RSI: 58.42","{""ema_fast"": 8.992930936813393, ""ema_slow"": 8.987543463294152, ""rsi"": 58.41528207514646}","{""open"": 9.274631, ""high"": 9.497846, ""low"": 9.248561, ""close"": 9.315351, ""volume"": 876474348.0}",{},,
SIG_20100609_163000_1,2010-06-09 16:30:00,AAPL,SELL,EXIT,MARKET,100,8.685706,,,EMA crossover detected (Fast: 9.01 < Slow: 9.01),"{""ema_fast"": 9.00546435713824, ""ema_slow"": 9.011388001773785, ""rsi"": 42.826558309592805}","{""open"": 8.981062, ""high"": 8.996419, ""low"": 8.660349, ""close"": 8.685706, ""volume"": 854629396.0}",{},,
SIG_20100614_163000_2,2010-06-14 16:30:00,AAPL,BUY,ENTRY,MARKET,100,9.081419,,,"EMA crossover detected (Fast: 9.02 > Slow: 9.02), RSI: 52.19","{""ema_fast"": 9.016992857237595, ""ema_slow"": 9.015389273978325, ""rsi"": 52.193639642401955}","{""open"": 9.14142, ""high"": 9.255344, ""low"": 9.071776, ""close"": 9.081419, ""volume"": 602961112.0}",{},,
SIG_20100702_163000_3,2010-07-02 16:30:00,AAPL,SELL,EXIT,MARKET,100,8.819277,,,EMA crossover detected (Fast: 9.23 < Slow: 9.24),"{""ema_fast"": 9.227142576902455, ""ema_slow"": 9.23507371711419, ""rsi"": 39.36021710905063}","{""open"": 8.946063, ""high"": 8.961776, ""low"": 8.685706, ""close"": 8.819277, ""volume"": 694498356.0}",{},,
SIG_20100727_163000_4,2010-07-27 16:30:00,AAPL,BUY,ENTRY,MARKET,100,9.431422,,,"EMA crossover detected (Fast: 9.18 > Slow: 9.16), RSI: 58.61","{""ema_fast"": 9.176012924049388, ""ema_slow"": 9.164419505151155, ""rsi"": 58.612618441990975}","{""open"": 9.316781, ""high"": 9.457135, ""low"": 9.296421, ""close"": 9.431422, ""volume"": 584771400.0}",{},,
SIG_20100812_163000_5,2010-08-12 16:30:00,AAPL,SELL,EXIT,MARKET,100,8.992491,,,EMA crossover detected (Fast: 9.20 < Slow: 9.20),"{""ema_fast"": 9.195522146792104, ""ema_slow"": 9.203091204436745, ""rsi"": 42.38444006940263}","{""open"": 8.810348, ""high"": 9.039277, ""low"": 8.789991, ""close"": 8.992491, ""volume"": 534919700.0}",{},,
SIG_20100908_163000_6,2010-09-08 16:30:00,AAPL,BUY,ENTRY,MARKET,100,9.389988,,,"EMA crossover detected (Fast: 9.01 > Slow: 9.00), RSI: 63.64","{""ema_fast"": 9.010024819527473, ""ema_slow"": 8.998841861886143, ""rsi"": 63.643776101207884}","{""open"": 9.277849, ""high"": 9.442487, ""low"": 9.253566, ""close"": 9.389988, ""volume"": 526548812.0}",{},,
SIG_20100923_163000_7,2010-09-23 16:30:00,AAPL,SELL,EXIT,MARKET,100,10.318558,,,RSI overbought: 80.55 > 80,"{""ema_fast"": 9.835218063975896, ""ema_slow"": 9.517392073276877, ""rsi"": 80.55323183196462}","{""open"": 10.226064, ""high"": 10.455704, ""low"": 10.214276, ""close"": 10.318558, ""volume"": 786116240.0}",{},,
SIG_20110331_163000_8,2011-03-31 16:30:00,AAPL,BUY,ENTRY,MARKET,100,12.446686,,,"EMA crossover detected (Fast: 12.38 > Slow: 12.38), RSI: 51.93","{""ema_fast"": 12.380554500110847, ""ema_slow"": 12.378226893946502, ""rsi"": 51.928446726885326}","{""open"": 12.369992, ""high"": 12.492846, ""low"": 12.359275, ""close"": 12.446686, ""volume"": 274368324.0}",{},,
SIG_20110401_163000_9,2011-04-01 16:30:00,AAPL,SELL,EXIT,MARKET,100,12.305704,,,EMA crossover detected (Fast: 12.37 < Slow: 12.37),"{""ema_fast"": 12.369039038555332, ""ema_slow"": 12.372854827728244, ""rsi"": 48.155569836490194}","{""open"": 12.539634, ""high"": 12.556672, ""low"": 12.260704, ""close"": 12.305704, ""volume"": 418661988.0}",{},,
