signal_id,timestamp,symbol,side,action,order_type,size,price,limit_price,stop_price,reason,indicator_values,market_data,strategy_state,order_id,notes
SIG_20100726_163000_0,2010-07-26 16:30:00,MSFT,BUY,ENTRY,MARKET,100,26.10001,,,"EMA crossover detected (Fast: 25.35 > Slow: 25.28), RSI: 58.95","{""ema_fast"": 25.351212466302076, ""ema_slow"": 25.28190170502611, ""rsi"": 58.94899992446554}","{""open"": 25.86, ""high"": 26.2, ""low"": 25.8, ""close"": 26.10001, ""volume"": 67249808.0}",{},,
SIG_20100811_163000_1,2010-08-11 16:30:00,MSFT,SELL,EXIT,MARKET,100,24.86,,,EMA crossover detected (Fast: 25.48 < Slow: 25.49),"{""ema_fast"": 25.484169893409078, ""ema_slow"": 25.486069002864657, ""rsi"": 41.99248915065492}","{""open"": 24.67999, ""high"": 24.89999, ""low"": 24.56, ""close"": 24.86, ""volume"": 76745808.0}",{},,
SIG_20100916_163000_2,2010-09-16 16:30:00,MSFT,BUY,ENTRY,MARKET,100,25.33,,,"EMA crossover detected (Fast: 24.58 > Slow: 24.54), RSI: 61.64","{""ema_fast"": 24.575905729552606, ""ema_slow"": 24.543612068429706, ""rsi"": 61.64187933581804}","{""open"": 25.06, ""high"": 25.37, ""low"": 25.05, ""close"": 25.33, ""volume"": 44548256.0}",{},,
SIG_20101001_163000_3,2010-10-01 16:30:00,MSFT,SELL,EXIT,MARKET,100,24.38,,,EMA crossover detected (Fast: 24.63 < Slow: 24.63),"{""ema_fast"": 24.625787754841927, ""ema_slow"": 24.632754258515888, ""rsi"": 45.313291161944626}","{""open"": 24.77, ""high"": 24.82001, ""low"": 24.3, ""close"": 24.38, ""volume"": 62672272.0}",{},,
SIG_20101013_163000_4,2010-10-13 16:30:00,MSFT,BUY,ENTRY,MARKET,100,25.34,,,"EMA crossover detected (Fast: 24.68 > Slow: 24.63), RSI: 62.31","{""ema_fast"": 24.682718286245244, ""ema_slow"": 24.632013145901656, ""rsi"": 62.31437550788824}","{""open"": 25.02, ""high"": 25.53999, ""low"": 24.89, ""close"": 25.34, ""volume"": 75336432.0}",{},,
SIG_20101123_173000_5,2010-11-23 17:30:00,MSFT,SELL,EXIT,MARKET,100,25.12,,,EMA crossover detected (Fast: 25.93 < Slow: 25.94),"{""ema_fast"": 25.928345921356094, ""ema_slow"": 25.943227544292018, ""rsi"": 37.571528122702915}","{""open"": 25.57001, ""high"": 25.60001, ""low"": 25.09, ""close"": 25.12, ""volume"": 69806752.0}",{},,
SIG_20101203_173000_6,2010-12-03 17:30:00,MSFT,BUY,ENTRY,MARKET,100,27.02,,,"EMA crossover detected (Fast: 26.05 > Slow: 25.96), RSI: 64.59","{""ema_fast"": 26.051696973621524, ""ema_slow"": 25.96210227511633, ""rsi"": 64.59255656850294}","{""open"": 26.81, ""high"": 27.06, ""low"": 26.78, ""close"": 27.02, ""volume"": 52621904.0}",{},,
SIG_20110210_173000_7,2011-02-10 17:30:00,MSFT,SELL,EXIT,MARKET,100,27.5,,,EMA crossover detected (Fast: 27.99 < Slow: 28.02),"{""ema_fast"": 27.990506605741714, ""ema_slow"": 28.016942163033026, ""rsi"": 42.695225936158685}","{""open"": 27.92999, ""high"": 27.94, ""low"": 27.28999, ""close"": 27.5, ""volume"": 76672368.0}",{},,
SIG_20110427_163000_8,2011-04-27 16:30:00,MSFT,BUY,ENTRY,MARKET,100,26.38,,,"EMA crossover detected (Fast: 25.76 > Slow: 25.75), RSI: 60.76","{""ema_fast"": 25.760882511765043, ""ema_slow"": 25.749119200407982, ""rsi"": 60.76010089432972}","{""open"": 26.3, ""high"": 26.39, ""low"": 26.13, ""close"": 26.38, ""volume"": 52688976.0}",{},,
SIG_20110511_163000_9,2011-05-11 16:30:00,MSFT,SELL,EXIT,MARKET,100,25.36,,,EMA crossover detected (Fast: 25.76 < Slow: 25.79),"{""ema_fast"": 25.764271336643287, ""ema_slow"": 25.786446337787403, ""rsi"": 42.93412456257064}","{""open"": 25.64999, ""high"": 25.66, ""low"": 25.21001, ""close"": 25.36, ""volume"": 78604688.0}",{},,
SIG_20110628_163000_10,2011-06-28 16:30:00,MSFT,BUY,ENTRY,MARKET,100,25.8,,,"EMA crossover detected (Fast: 24.69 > Slow: 24.60), RSI: 65.72","{""ema_fast"": 24.687261891588342, ""ema_slow"": 24.601919286543176, ""rsi"": 65.7218157179989}","{""open"": 25.3, ""high"": 25.92, ""low"": 25.16, ""close"": 25.8, ""volume"": 81032000.0}",{},,
