signal_id,timestamp,symbol,side,action,order_type,size,price,limit_price,stop_price,reason,indicator_values,market_data,strategy_state,order_id,notes
SIG_20100830_163000_0,2010-08-30 16:30:00,TSLA,BUY,ENTRY,MARKET,100,1.324665,,,"EMA crossover detected (Fast: 1.30 > Slow: 1.30), RSI: 48.84","{""ema_fast"": 1.3011712453718276, ""ema_slow"": 1.300268944649183, ""rsi"": 48.8421541941824}","{""open"": 1.313332, ""high"": 1.345999, ""low"": 1.307332, ""close"": 1.324665, ""volume"": 10990975.0}",{},,
SIG_20101019_163000_1,2010-10-19 16:30:00,TSLA,SELL,EXIT,MARKET,100,1.336665,,,EMA crossover detected (Fast: 1.36 < Slow: 1.36),"{""ema_fast"": 1.362948810573051, ""ema_slow"": 1.3647857714250493, ""rsi"": 45.36634473660747}","{""open"": 1.346665, ""high"": 1.360405, ""low"": 1.333332, ""close"": 1.336665, ""volume"": 3676908.0}",{},,
SIG_20101021_163000_2,2010-10-21 16:30:00,TSLA,BUY,ENTRY,MARKET,100,1.383332,,,"EMA crossover detected (Fast: 1.37 > Slow: 1.37), RSI: 52.22","{""ema_fast"": 1.3678702253215334, ""ema_slow"": 1.3669743280393085, ""rsi"": 52.21856354279719}","{""open"": 1.373999, ""high"": 1.396665, ""low"": 1.363332, ""close"": 1.383332, ""volume"": 6269991.0}",{},,
SIG_20101110_173000_3,2010-11-10 17:30:00,TSLA,SELL,EXIT,MARKET,100,1.957331,,,RSI overbought: 81.88 > 80,"{""ema_fast"": 1.5936755249141052, ""ema_slow"": 1.4983465826408928, ""rsi"": 81.87760073111008}","{""open"": 1.631998, ""high"": 1.997998, ""low"": 1.603332, ""close"": 1.957331, ""volume"": 45915615.0}",{},,
SIG_20110309_173000_4,2011-03-09 17:30:00,TSLA,BUY,ENTRY,MARKET,100,1.647998,,,"EMA crossover detected (Fast: 1.61 > Slow: 1.61), RSI: 54.40","{""ema_fast"": 1.6119187017485972, ""ema_slow"": 1.6108177953026555, ""rsi"": 54.40240286125939}","{""open"": 1.643998, ""high"": 1.665999, ""low"": 1.617998, ""close"": 1.647998, ""volume"": 13870828.0}",{},,
SIG_20110311_173000_5,2011-03-11 17:30:00,TSLA,SELL,EXIT,MARKET,100,1.604666,,,EMA crossover detected (Fast: 1.61 < Slow: 1.61),"{""ema_fast"": 1.6093377923762144, ""ema_slow"": 1.6096656873308088, ""rsi"": 49.187821244959665}","{""open"": 1.589999, ""high"": 1.616665, ""low"": 1.568665, ""close"": 1.604666, ""volume"": 13961923.0}",{},,
SIG_20110629_163000_6,2011-06-29 16:30:00,TSLA,BUY,ENTRY,MARKET,100,1.885997,,,"EMA crossover detected (Fast: 1.85 > Slow: 1.84), RSI: 54.30","{""ema_fast"": 1.845210488669661, ""ema_slow"": 1.8434125187730483, ""rsi"": 54.2978999617837}","{""open"": 1.899998, ""high"": 1.939331, ""low"": 1.871332, ""close"": 1.885997, ""volume"": 21925641.0}",{},,
SIG_20110802_163000_7,2011-08-02 16:30:00,TSLA,SELL,EXIT,MARKET,100,1.822665,,,EMA crossover detected (Fast: 1.88 < Slow: 1.88),"{""ema_fast"": 1.8772566426506034, ""ema_slow"": 1.877842979294288, ""rsi"": 44.2774030691697}","{""open"": 1.912665, ""high"": 1.946665, ""low"": 1.817998, ""close"": 1.822665, ""volume"": 23239823.0}",{},,
SIG_20110920_163000_8,2011-09-20 16:30:00,TSLA,BUY,ENTRY,MARKET,100,1.733998,,,"EMA crossover detected (Fast: 1.65 > Slow: 1.64), RSI: 58.74","{""ema_fast"": 1.6463737115139336, ""ema_slow"": 1.6444266732934585, ""rsi"": 58.74010367666689}","{""open"": 1.731998, ""high"": 1.773332, ""low"": 1.711332, ""close"": 1.733998, ""volume"": 17705282.0}",{},,
SIG_20111003_163000_9,2011-10-03 16:30:00,TSLA,SELL,EXIT,MARKET,100,1.581998,,,EMA crossover detected (Fast: 1.65 < Slow: 1.66),"{""ema_fast"": 1.652886240483467, ""ema_slow"": 1.6555911576129665, ""rsi"": 43.00045513372442}","{""open"": 1.663332, ""high"": 1.666665, ""low"": 1.549998, ""close"": 1.581998, ""volume"": 15346965.0}",{},,
SIG_20111006_163000_10,2011-10-06 16:30:00,TSLA,BUY,ENTRY,MARKET,100,1.797332,,,"EMA crossover detected (Fast: 1.67 > Slow: 1.66), RSI: 60.68","{""ema_fast"": 1.6717911233880265, ""ema_slow"": 1.6635718688057004, ""rsi"": 60.681578061086405}","{""open"": 1.691332, ""high"": 1.839999, ""low"": 1.667998, ""close"": 1.797332, ""volume"": 26535416.0}",{},,
SIG_20111214_173000_11,2011-12-14 17:30:00,TSLA,SELL,EXIT,MARKET,100,1.901998,,,EMA crossover detected (Fast: 2.09 < Slow: 2.10),"{""ema_fast"": 2.087726147226062, ""ema_slow"": 2.0966238402658655, ""rsi"": 37.18087754024184}","{""open"": 1.966665, ""high"": 1.978664, ""low"": 1.866665, ""close"": 1.901998, ""volume"": 17457617.0}",{},,
SIG_20120131_173000_12,2012-01-31 17:30:00,TSLA,BUY,ENTRY,MARKET,100,1.937999,,,"EMA crossover detected (Fast: 1.88 > Slow: 1.88), RSI: 54.87","{""ema_fast"": 1.8778049481498806, ""ema_slow"": 1.8771081824982077, ""rsi"": 54.86944119585234}","{""open"": 1.993331, ""high"": 1.999998, ""low"": 1.924665, ""close"": 1.937999, ""volume"": 14350709.0}",{},,
SIG_20120411_163000_13,2012-04-11 16:30:00,TSLA,SELL,EXIT,MARKET,100,2.205998,,,EMA crossover detected (Fast: 2.32 < Slow: 2.32),"{""ema_fast"": 2.3205694507412606, ""ema_slow"": 2.3223639571818326, ""rsi"": 41.930441220835576}","{""open"": 2.215998, ""high"": 2.21933, ""low"": 2.133997, ""close"": 2.205998, ""volume"": 16581721.0}",{},,
SIG_20120620_163000_14,2012-06-20 16:30:00,TSLA,BUY,ENTRY,MARKET,100,2.251998,,,"EMA crossover detected (Fast: 2.05 > Slow: 2.04), RSI: 64.35","{""ema_fast"": 2.051215889555168, ""ema_slow"": 2.0354166959529927, ""rsi"": 64.34939821767371}","{""open"": 2.233331, ""high"": 2.299998, ""low"": 2.213998, ""close"": 2.251998, ""volume"": 51335181.0}",{},,
