datetime,symbol,open,high,low,close,volume
2018-03-09 17:30:00,SPY,275.69,277.96,275.34,277.85,4068684.0
2018-03-09 21:30:00,SPY,277.85,278.85,277.745,278.82,4230390.0
2018-03-12 16:30:00,SPY,279.2,279.91,278.09,278.8,3083397.0
2018-03-12 20:30:00,SPY,278.8,279.39,278.14,278.5,3033975.0
2018-03-13 16:30:00,SPY,279.86,280.41,277.16,278.27,4087138.0
2018-03-13 20:30:00,SPY,278.27,278.475,276.03,276.69,4056951.0
2018-03-14 16:30:00,SPY,277.81,278.02,274.85,275.23,4911407.0
2018-03-14 20:30:00,SPY,275.23,276.58,274.68,275.27,4273359.0
2018-03-15 16:30:00,SPY,275.88,276.6,275.02,275.55,2679569.0
2018-03-15 20:30:00,SPY,275.53,275.66,274.44,275.0,2893835.0
2018-03-16 16:30:00,SPY,274.5,275.38,274.42,274.52,2596251.0
2018-03-16 20:30:00,SPY,274.52,274.98,274.16,274.19,3184496.0
2018-03-19 16:30:00,SPY,273.37,273.38,268.82,269.15,5540901.0
2018-03-19 20:30:00,SPY,269.13,270.79,268.63,270.51,5199345.0
2018-03-20 16:30:00,SPY,270.96,271.665,270.23,270.58,2762832.0
2018-03-20 20:30:00,SPY,270.58,271.58,270.18,270.95,2159899.0
2018-03-21 16:30:00,SPY,270.9,272.29,270.46,271.78,2556345.0
2018-03-21 20:30:00,SPY,271.78,273.27,270.19,270.43,5468554.0
2018-03-22 16:30:00,SPY,267.89,268.85,265.41,267.85,7706689.0
2018-03-22 20:30:00,SPY,267.85,268.23,263.37,263.68,7037159.0
2018-03-23 16:30:00,SPY,264.19,265.02,261.76,263.21,6682066.0
2018-03-23 20:30:00,SPY,263.28,264.14,257.83,258.0,9387383.0
2018-03-26 16:30:00,SPY,262.13,263.17,259.41,261.99,6091731.0
2018-03-26 20:30:00,SPY,261.99,265.43,261.56,265.16,4321347.0
2018-03-27 16:30:00,SPY,266.18,266.77,264.48,265.66,5822331.0
2018-03-27 20:30:00,SPY,265.65,265.79,258.865,260.51,8269407.0
